"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2022","11a","Wyoming","3500+","142"
"2022","11a","Wyoming","Under 1000","4"
"2022","11a","Wyoming","1000-1499","2"
"2022","11a","Wyoming","1500-1999","4"
"2022","11a","Wyoming","2000-2499","14"
"2022","11a","Wyoming","2500-2999","54"
"2022","11a","Wyoming","3000-3499","121"
"2022","11a","Yates","2000-2499","3"
"2022","11a","Yates","Total","315"
"2022","11a","Yates","Under 1000","0"
"2022","11a","Yates","1000-1499","2"
"2022","11a","Yates","Unknown","1"
"2022","11a","Yates","3500+","131"
"2022","11a","Yates","3000-3499","138"
"2022","11a","Yates","2500-2999","38"
"2022","11a","Yates","1500-1999","2"
"2021","11a","Albany","Unknown","5"
"2021","11a","Albany","Total","2,925"
"2021","11a","Albany","Under 1000","28"
"2021","11a","Albany","1000-1499","29"
"2021","11a","Albany","1500-1999","47"
"2021","11a","Albany","2000-2499","141"
"2021","11a","Albany","2500-2999","525"
"2021","11a","Albany","3000-3499","1,121"
"2021","11a","Albany","3500+","1,029"
"2021","11a","Allegany","Unknown","17"
"2021","11a","Allegany","3500+","181"
"2021","11a","Allegany","3000-3499","172"
"2021","11a","Allegany","2500-2999","91"
"2021","11a","Allegany","2000-2499","26"
"2021","11a","Allegany","1500-1999","7"
"2021","11a","Allegany","1000-1499","2"
"2021","11a","Allegany","Under 1000","2"
"2021","11a","Allegany","Total","498"
"2021","11a","Bronx","Under 1000","184"
"2021","11a","Bronx","Total","16,834"
"2021","11a","Bronx","1000-1499","171"
"2021","11a","Bronx","1500-1999","360"
"2021","11a","Bronx","2000-2499","1,124"
"2021","11a","Bronx","2500-2999","3,634"
"2021","11a","Bronx","3000-3499","6,616"
"2021","11a","Bronx","3500+","4,739"
"2021","11a","Bronx","Unknown","6"
"2021","11a","Broome","Unknown","2"
"2021","11a","Broome","Total","1,842"
"2021","11a","Broome","Under 1000","15"
"2021","11a","Broome","1000-1499","17"
"2021","11a","Broome","1500-1999","35"
"2021","11a","Broome","2000-2499","73"
"2021","11a","Broome","2500-2999","369"
"2021","11a","Broome","3000-3499","698"
"2021","11a","Broome","3500+","633"
"2021","11a","Cattaraugus","Unknown","80"
"2021","11a","Cattaraugus","Total","793"
"2021","11a","Cattaraugus","3500+","258"
"2021","11a","Cattaraugus","3000-3499","278"
"2021","11a","Cattaraugus","2500-2999","131"
"2021","11a","Cattaraugus","2000-2499","31"
"2021","11a","Cattaraugus","1500-1999","8"
"2021","11a","Cattaraugus","1000-1499","3"
"2021","11a","Cattaraugus","Under 1000","4"
"2021","11a","Cayuga","3000-3499","239"
"2021","11a","Cayuga","3500+","265"
"2021","11a","Cayuga","Total","659"
"2021","11a","Cayuga","Under 1000","5"
"2021","11a","Cayuga","1000-1499","10"
"2021","11a","Cayuga","Unknown","7"
"2021","11a","Cayuga","1500-1999","14"
"2021","11a","Cayuga","2000-2499","26"
"2021","11a","Cayuga","2500-2999","93"
"2021","11a","Chautauqua","Under 1000","5"
